Fréquence (Hz)	Niveau (dB)
8636,718750	-91,735680
8648,437500	-91,068756
8660,156250	-91,293694
8671,875000	-91,871872
8683,593750	-91,934250
8695,312500	-91,720100
8707,031250	-91,269066
8718,750000	-90,960373
8730,468750	-91,033684
8742,187500	-91,452049
8753,906250	-91,623352
8765,625000	-91,742477
8777,343750	-91,634499
8789,062500	-92,282951
8800,781250	-92,513069
8812,500000	-92,380440
8824,218750	-91,907738
8835,937500	-91,427689
8847,656250	-92,021683
8859,375000	-92,245438
8871,093750	-91,883621
8882,812500	-92,121033
8894,531250	-92,150017
8906,250000	-91,518402
8917,968750	-91,358315
8929,687500	-91,527588
8941,406250	-91,538994
8953,125000	-91,283821
8964,843750	-90,896706
8976,562500	-91,563553
8988,281250	-92,052246
9000,000000	-91,083382
9011,718750	-91,435074
9023,437500	-92,158508
9035,156250	-92,771004
9046,875000	-92,422531
9058,593750	-92,452759
9070,312500	-93,007019
9082,031250	-92,966164
9093,750000	-92,778152
9105,468750	-92,527122
9117,187500	-92,540108
9128,906250	-92,629623
9140,625000	-92,728935
9152,343750	-92,988579
9164,062500	-92,953476
9175,781250	-92,604958
9187,500000	-92,553490
9199,218750	-92,603256
9210,937500	-93,030121
9222,656250	-92,928009
9234,375000	-92,933167
9246,093750	-92,725494
9257,812500	-92,379814
9269,531250	-92,837082
9281,250000	-93,089607
9292,968750	-93,061127
9304,687500	-92,830086
9316,406250	-92,639359
9328,125000	-92,816650
9339,843750	-92,499710
9351,562500	-92,368431
9363,281250	-92,480896
9375,000000	-92,274940
9386,718750	-92,340157
9398,437500	-92,730835
9410,156250	-93,151001
9421,875000	-93,454666
9433,593750	-93,089912
9445,312500	-92,698051
9457,031250	-92,622375
9468,750000	-92,824127
9480,468750	-93,338181
9492,187500	-93,773567
9503,906250	-93,701996
9515,625000	-94,279221
9527,343750	-94,298424
9539,062500	-94,151306
9550,781250	-94,139343
9562,500000	-93,757698
9574,218750	-93,335373
9585,937500	-94,139412
9597,656250	-94,447868
9609,375000	-94,122444
9621,093750	-94,032173
9632,812500	-93,900581
9644,531250	-93,724724
9656,250000	-93,427711
9667,968750	-93,947197
9679,687500	-93,415100
9691,406250	-93,878090
9703,125000	-94,166748
9714,843750	-93,985710
9726,562500	-93,219749
9738,281250	-93,690262
9750,000000	-94,391464
9761,718750	-94,823883
9773,437500	-94,543022
9785,156250	-94,216896
9796,875000	-94,273735
9808,593750	-94,253372
9820,312500	-94,465767
9832,031250	-94,576324
9843,750000	-94,158920
9855,468750	-94,443443
9867,187500	-94,365608
9878,906250	-93,983971
9890,625000	-94,256783
9902,343750	-94,426895
9914,062500	-94,235428
9925,781250	-93,687645
9937,500000	-93,766495
9949,218750	-93,962036
9960,937500	-93,858810
9972,656250	-94,532623
9984,375000	-94,928139
9996,093750	-94,515778
10007,812500	-94,998924
10019,531250	-94,697517
10031,250000	-94,750221
10042,968750	-94,479607
10054,687500	-94,586472
10066,406250	-94,992531
10078,125000	-95,306694
10089,843750	-95,628601
10101,562500	-94,955650
10113,281250	-95,005760
10125,000000	-94,815514
10136,718750	-94,975945
10148,437500	-94,749725
10160,156250	-94,316238
10171,875000	-94,729355
10183,593750	-95,038414
10195,312500	-95,306084
